"N","24"
"C","0  4  7"
"C#","1  5  8"
"D","2  6  9"
"E","4   8  11"
"Eb","3   7  10"
"F","5  9  0"
"F#","6  10   1"
"G","7  11   2"
"A","9  1  4"
"Ab","8  0  3"
"B","11   3   6"
"Bb","10   2   5"
"C/1","0  0  4  7"
"C#/1","1  1  5  8"
"D/1","2  2  6  9"
"E/1","4   4   8  11"
"Eb/1","3   3   7  10"
"F/1","5  5  9  0"
"F#/1","6   6  10   1"
"G/1","7   7  11   2"
"A/1","9  9  1  4"
"Ab/1","8  8  0  3"
"B/1","11  11   3   6"
"Bb/1","10  10   2   5"
"C/2","2  0  4  7"
"C#/2","3  1  5  8"
"D/2","4  2  6  9"
"E/2","6   4   8  11"
"Eb/2","5   3   7  10"
"F/2","7  5  9  0"
"F#/2","8   6  10   1"
"G/2","9   7  11   2"
"A/2","11   9   1   4"
"Ab/2","10   8   0   3"
"B/2","1  11   3   6"
"Bb/2","0  10   2   5"
"C/3","4  0  4  7"
"C#/3","5  1  5  8"
"D/3","6  2  6  9"
"E/3","8   4   8  11"
"Eb/3","7   3   7  10"
"F/3","9  5  9  0"
"F#/3","10   6  10   1"
"G/3","11   7  11   2"
"A/3","1  9  1  4"
"Ab/3","0  8  0  3"
"B/3","3  11   3   6"
"Bb/3","2  10   2   5"
"C/4","5  0  4  7"
"C#/4","6  1  5  8"
"D/4","7  2  6  9"
"E/4","9   4   8  11"
"Eb/4","8   3   7  10"
"F/4","10   5   9   0"
"F#/4","11   6  10   1"
"G/4","0   7  11   2"
"A/4","2  9  1  4"
"Ab/4","1  8  0  3"
"B/4","4  11   3   6"
"Bb/4","3  10   2   5"
"C/5","7  0  4  7"
"C#/5","8  1  5  8"
"D/5","9  2  6  9"
"E/5","11   4   8  11"
"Eb/5","10   3   7  10"
"F/5","0  5  9  0"
"F#/5","1   6  10   1"
"G/5","2   7  11   2"
"A/5","4  9  1  4"
"Ab/5","3  8  0  3"
"B/5","6  11   3   6"
"Bb/5","5  10   2   5"
"C/6","9  0  4  7"
"C#/6","10   1   5   8"
"D/6","11   2   6   9"
"E/6","1   4   8  11"
"Eb/6","0   3   7  10"
"F/6","2  5  9  0"
"F#/6","3   6  10   1"
"G/6","4   7  11   2"
"A/6","6  9  1  4"
"Ab/6","5  8  0  3"
"B/6","8  11   3   6"
"Bb/6","7  10   2   5"
"C/7","11   0   4   7"
"C#/7","0  1  5  8"
"D/7","1  2  6  9"
"E/7","3   4   8  11"
"Eb/7","2   3   7  10"
"F/7","4  5  9  0"
"F#/7","5   6  10   1"
"G/7","6   7  11   2"
"A/7","8  9  1  4"
"Ab/7","7  8  0  3"
"B/7","10  11   3   6"
"Bb/7","9  10   2   5"
"C/9","2  0  4  7"
"C#/9","3  1  5  8"
"D/9","4  2  6  9"
"E/9","6   4   8  11"
"Eb/9","5   3   7  10"
"F/9","7  5  9  0"
"F#/9","8   6  10   1"
"G/9","9   7  11   2"
"A/9","11   9   1   4"
"Ab/9","10   8   0   3"
"B/9","1  11   3   6"
"Bb/9","0  10   2   5"
"C/b1","11   0   4   7"
"C#/b1","0  1  5  8"
"D/b1","1  2  6  9"
"E/b1","3   4   8  11"
"Eb/b1","2   3   7  10"
"F/b1","4  5  9  0"
"F#/b1","5   6  10   1"
"G/b1","6   7  11   2"
"A/b1","8  9  1  4"
"Ab/b1","7  8  0  3"
"B/b1","10  11   3   6"
"Bb/b1","9  10   2   5"
"C/b2","1  0  4  7"
"C#/b2","2  1  5  8"
"D/b2","3  2  6  9"
"E/b2","5   4   8  11"
"Eb/b2","4   3   7  10"
"F/b2","6  5  9  0"
"F#/b2","7   6  10   1"
"G/b2","8   7  11   2"
"A/b2","10   9   1   4"
"Ab/b2","9  8  0  3"
"B/b2","0  11   3   6"
"Bb/b2","11  10   2   5"
"C/b3","3  0  4  7"
"C#/b3","4  1  5  8"
"D/b3","5  2  6  9"
"E/b3","7   4   8  11"
"Eb/b3","6   3   7  10"
"F/b3","8  5  9  0"
"F#/b3","9   6  10   1"
"G/b3","10   7  11   2"
"A/b3","0  9  1  4"
"Ab/b3","11   8   0   3"
"B/b3","2  11   3   6"
"Bb/b3","1  10   2   5"
"C/b4","4  0  4  7"
"C#/b4","5  1  5  8"
"D/b4","6  2  6  9"
"E/b4","8   4   8  11"
"Eb/b4","7   3   7  10"
"F/b4","9  5  9  0"
"F#/b4","10   6  10   1"
"G/b4","11   7  11   2"
"A/b4","1  9  1  4"
"Ab/b4","0  8  0  3"
"B/b4","3  11   3   6"
"Bb/b4","2  10   2   5"
"C/b5","6  0  4  7"
"C#/b5","7  1  5  8"
"D/b5","8  2  6  9"
"E/b5","10   4   8  11"
"Eb/b5","9   3   7  10"
"F/b5","11   5   9   0"
"F#/b5","0   6  10   1"
"G/b5","1   7  11   2"
"A/b5","3  9  1  4"
"Ab/b5","2  8  0  3"
"B/b5","5  11   3   6"
"Bb/b5","4  10   2   5"
"C/b6","8  0  4  7"
"C#/b6","9  1  5  8"
"D/b6","10   2   6   9"
"E/b6","0   4   8  11"
"Eb/b6","11   3   7  10"
"F/b6","1  5  9  0"
"F#/b6","2   6  10   1"
"G/b6","3   7  11   2"
"A/b6","5  9  1  4"
"Ab/b6","4  8  0  3"
"B/b6","7  11   3   6"
"Bb/b6","6  10   2   5"
"C/b7","10   0   4   7"
"C#/b7","11   1   5   8"
"D/b7","0  2  6  9"
"E/b7","2   4   8  11"
"Eb/b7","1   3   7  10"
"F/b7","3  5  9  0"
"F#/b7","4   6  10   1"
"G/b7","5   7  11   2"
"A/b7","7  9  1  4"
"Ab/b7","6  8  0  3"
"B/b7","9  11   3   6"
"Bb/b7","8  10   2   5"
"C/b9","1  0  4  7"
"C#/b9","2  1  5  8"
"D/b9","3  2  6  9"
"E/b9","5   4   8  11"
"Eb/b9","4   3   7  10"
"F/b9","6  5  9  0"
"F#/b9","7   6  10   1"
"G/b9","8   7  11   2"
"A/b9","10   9   1   4"
"Ab/b9","9  8  0  3"
"B/b9","0  11   3   6"
"Bb/b9","11  10   2   5"
"C/#1","1  0  4  7"
"C#/#1","2  1  5  8"
"D/#1","3  2  6  9"
"E/#1","5   4   8  11"
"Eb/#1","4   3   7  10"
"F/#1","6  5  9  0"
"F#/#1","7   6  10   1"
"G/#1","8   7  11   2"
"A/#1","10   9   1   4"
"Ab/#1","9  8  0  3"
"B/#1","0  11   3   6"
"Bb/#1","11  10   2   5"
"C/#2","3  0  4  7"
"C#/#2","4  1  5  8"
"D/#2","5  2  6  9"
"E/#2","7   4   8  11"
"Eb/#2","6   3   7  10"
"F/#2","8  5  9  0"
"F#/#2","9   6  10   1"
"G/#2","10   7  11   2"
"A/#2","0  9  1  4"
"Ab/#2","11   8   0   3"
"B/#2","2  11   3   6"
"Bb/#2","1  10   2   5"
"C/#3","5  0  4  7"
"C#/#3","6  1  5  8"
"D/#3","7  2  6  9"
"E/#3","9   4   8  11"
"Eb/#3","8   3   7  10"
"F/#3","10   5   9   0"
"F#/#3","11   6  10   1"
"G/#3","0   7  11   2"
"A/#3","2  9  1  4"
"Ab/#3","1  8  0  3"
"B/#3","4  11   3   6"
"Bb/#3","3  10   2   5"
"C/#4","6  0  4  7"
"C#/#4","7  1  5  8"
"D/#4","8  2  6  9"
"E/#4","10   4   8  11"
"Eb/#4","9   3   7  10"
"F/#4","11   5   9   0"
"F#/#4","0   6  10   1"
"G/#4","1   7  11   2"
"A/#4","3  9  1  4"
"Ab/#4","2  8  0  3"
"B/#4","5  11   3   6"
"Bb/#4","4  10   2   5"
"C/#5","8  0  4  7"
"C#/#5","9  1  5  8"
"D/#5","10   2   6   9"
"E/#5","0   4   8  11"
"Eb/#5","11   3   7  10"
"F/#5","1  5  9  0"
"F#/#5","2   6  10   1"
"G/#5","3   7  11   2"
"A/#5","5  9  1  4"
"Ab/#5","4  8  0  3"
"B/#5","7  11   3   6"
"Bb/#5","6  10   2   5"
"C/#6","10   0   4   7"
"C#/#6","11   1   5   8"
"D/#6","0  2  6  9"
"E/#6","2   4   8  11"
"Eb/#6","1   3   7  10"
"F/#6","3  5  9  0"
"F#/#6","4   6  10   1"
"G/#6","5   7  11   2"
"A/#6","7  9  1  4"
"Ab/#6","6  8  0  3"
"B/#6","9  11   3   6"
"Bb/#6","8  10   2   5"
"C/#7","0  0  4  7"
"C#/#7","1  1  5  8"
"D/#7","2  2  6  9"
"E/#7","4   4   8  11"
"Eb/#7","3   3   7  10"
"F/#7","5  5  9  0"
"F#/#7","6   6  10   1"
"G/#7","7   7  11   2"
"A/#7","9  9  1  4"
"Ab/#7","8  8  0  3"
"B/#7","11  11   3   6"
"Bb/#7","10  10   2   5"
"C/#9","3  0  4  7"
"C#/#9","4  1  5  8"
"D/#9","5  2  6  9"
"E/#9","7   4   8  11"
"Eb/#9","6   3   7  10"
"F/#9","8  5  9  0"
"F#/#9","9   6  10   1"
"G/#9","10   7  11   2"
"A/#9","0  9  1  4"
"Ab/#9","11   8   0   3"
"B/#9","2  11   3   6"
"Bb/#9","1  10   2   5"
"C:(1)","0"
"C#:(1)","1"
"D:(1)","2"
"E:(1)","4"
"Eb:(1)","3"
"F:(1)","5"
"F#:(1)","6"
"G:(1)","7"
"A:(1)","9"
"Ab:(1)","8"
"B:(1)","11"
"Bb:(1)","10"
"C:(1)/1","0  0"
"C#:(1)/1","1  1"
"D:(1)/1","2  2"
"E:(1)/1","4  4"
"Eb:(1)/1","3  3"
"F:(1)/1","5  5"
"F#:(1)/1","6  6"
"G:(1)/1","7  7"
"A:(1)/1","9  9"
"Ab:(1)/1","8  8"
"B:(1)/1","11  11"
"Bb:(1)/1","10  10"
"C:(1)/2","2  0"
"C#:(1)/2","3  1"
"D:(1)/2","4  2"
"E:(1)/2","6  4"
"Eb:(1)/2","5  3"
"F:(1)/2","7  5"
"F#:(1)/2","8  6"
"G:(1)/2","9  7"
"A:(1)/2","11   9"
"Ab:(1)/2","10   8"
"B:(1)/2","1  11"
"Bb:(1)/2","0  10"
"C:(1)/3","4  0"
"C#:(1)/3","5  1"
"D:(1)/3","6  2"
"E:(1)/3","8  4"
"Eb:(1)/3","7  3"
"F:(1)/3","9  5"
"F#:(1)/3","10   6"
"G:(1)/3","11   7"
"A:(1)/3","1  9"
"Ab:(1)/3","0  8"
"B:(1)/3","3  11"
"Bb:(1)/3","2  10"
"C:(1)/4","5  0"
"C#:(1)/4","6  1"
"D:(1)/4","7  2"
"E:(1)/4","9  4"
"Eb:(1)/4","8  3"
"F:(1)/4","10   5"
"F#:(1)/4","11   6"
"G:(1)/4","0  7"
"A:(1)/4","2  9"
"Ab:(1)/4","1  8"
"B:(1)/4","4  11"
"Bb:(1)/4","3  10"
"C:(1)/5","7  0"
"C#:(1)/5","8  1"
"D:(1)/5","9  2"
"E:(1)/5","11   4"
"Eb:(1)/5","10   3"
"F:(1)/5","0  5"
"F#:(1)/5","1  6"
"G:(1)/5","2  7"
"A:(1)/5","4  9"
"Ab:(1)/5","3  8"
"B:(1)/5","6  11"
"Bb:(1)/5","5  10"
"C:(1)/6","9  0"
"C#:(1)/6","10   1"
"D:(1)/6","11   2"
"E:(1)/6","1  4"
"Eb:(1)/6","0  3"
"F:(1)/6","2  5"
"F#:(1)/6","3  6"
"G:(1)/6","4  7"
"A:(1)/6","6  9"
"Ab:(1)/6","5  8"
"B:(1)/6","8  11"
"Bb:(1)/6","7  10"
"C:(1)/7","11   0"
"C#:(1)/7","0  1"
"D:(1)/7","1  2"
"E:(1)/7","3  4"
"Eb:(1)/7","2  3"
"F:(1)/7","4  5"
"F#:(1)/7","5  6"
